ID	X	Y	Ventenata							
16	43.940132	4.884444	1							
20	45.004678	4.398491	1							
21	43.151516	5.941456	1							
24	45.197711	 4.819870	1							
26	44.710985	2.590985	1							
28	45.813350	3.091344	1							
31	45.802127	3.093770	1							
32	45.764198	 3.053944	1							
33	38.752524	30.534521	1							
35	37.328597	34.794465	1							
38	49.439850	8.179169	1							
78	35.1075	 6.755	1							
80	35.554150	6.167225	1							
91	42.471581	13.567179	1							
92	42.152409	 13.366581	1							
93	42.471581	13.567179	1							
94	42.768453	13.587051	1							
95	41.877997	14.009113	1							
96	41.877997	14.009113	1							
97	42.780234	13.588102	1							
98	42.768453	13.587051	1							
99	42.471581	13.567179	1							
101	47.279824	 0.170375	1							
104	45.802127	3.093770	1							
106	38.363118	 31.416471	1							
110	37.129324	33.268666	1							
113	37.129324	33.268666	1							
114	38.363118	 31.416471	1							
115	38.363118	 31.416471	1							
116	38.363118	 31.416471	1							
119	45.199046	4.765207	1							
224	45.718972774482538	3.211264273904867	1							
225	45.757729597519919	3.040363854525191	1							
226	45.586197865089389	2.923785849776847	1							
227	45.638638949150483	3.192556107362694	1							
228	45.861820782397452	3.5396633935358	1							
230	45.103517026873988	2.782391143686154	1							
231	45.343336140648454	2.449910578603933	1							
232	45.348748838584065	2.791538257246898	1							
233	45.550277796717609	3.727829723295962	1							
237	45.798122096000668	1.131831878533306	1							
238	45.803700673412891	1.194870511522048	1							
239	45.85029677163557	1.12955908854052	1							
240	45.607634758010029	1.194545838161433	1							
241	45.721875909501264	1.36756381252408	1							
242	45.793198080408089	3.863803576769136	1							
243	45.829277930452498	4.183691306205292	1							
244	45.831488088647617	4.076626524407092	1							
245	45.829277930452498	4.183691306205292	1							
246	45.831488088647617	4.076626524407092	1							
248	44.660068185072689	4.404035748719996	1							
250	46.422119856290145	2.951688811630397	1							
251	46.405649865321955	3.053907437048395	1							
252	46.480635230786348	3.254864801446797	1							
253	46.462176694819618	3.129381110369961	1							
254	46.523871667191635	3.189730665418909	1							
255	46.388251069746282	3.231534441776215	1							
256	46.3809743317398	3.28875638054242	1							
257	46.510853799191835	3.377248125314373	1							
258	46.562610649169358	3.326634018183205	1							
259	46.297180694911624	2.032887354143422	1							
260	46.229857929832555	1.941185624891546	1							
261	46.213352812833556	1.895088115221704	1							
273	45.315093726264983	3.335867340707067	1							
281	45.801782286513358	3.092526531559511	1							
282	45.574846808917322	3.285766259428371	1							
289	46.16269093084783	1.870874075019827	1							
291	44.927108306123998	2.411363809859076	1							
292	45.052785292809233	2.424800601682327	1							
297	46.43337904378425	3.249035925886472	1							
303	45.081924371271413	3.913993141904759	1							
