ID4	X4	Y4	Ventenata4
1	45.807	-118.38267	1
2	44.8617	-120.92581	1
3	47.11625 -116.92125	1
4	50.75	-120.98333	1
5	44.665	-117.9641	1
6	41.58	-111.8	1
7	45.40457 -117.8606	1
8	44.97945 -117.12607	1
9	49.11667 -122.75	1
10	41.246	-122.666	1
11	41.609	-122.974	1
12	41.2343	-122.6454	1
13	41.007	-121.156	1
14	49.28333 -122.75	1
15	44.574	-123.3893	1
16	44.8759	-123.2249	1
18	45.28177 -117.73983	1
20	41.6122	-121.9928	1
21	41.2245	-122.6477	1
22	40.9842	-122.7074	1
23	41.4535	-120.8143	1
24	49.23333 -122.78333	1
25	40.4551	-123.5131	1
26	40.39582999906868	-120.77860999999999	1
28	49.23333 -122.78333	1
29	45.4208	-117.78517	1
30	45.69611 -121.30573	1
31	40.4646	-123.5375	1
32	40.8819	-121.6254	1
33	45.40897 -117.88823	1
34	46.30333 -117.56944	1
35	47.61667 -116.68278	1
36	47.4 -116.91	1
37	44.87 -123.22	1
38	44.66 -117.96	1
39	45.42358 -117.8027	1
40	45.40587 -117.8817	1
41	41.62204 -121.99188	1
42	41.425 -120.41111	1
44	50.75 -120.98333	1
45	49.30778 -124.32972	1
46	46.71667 -117.15	1
47	44.8486	-123.2328	1
48	39.3067	-120.6856	1
49	38.91667 -122.7	1
51	49.30778 -124.32972	1
52	46.73 -117.02	1
53	40.722	-122.928	1
54	40.723	-122.93	1
55	47.22667 -118.17333	1
56	47.65889 -117.425	1
57	42.0911	-123.2918	1
58	45.40442 -117.84957	1
59	40.47	-123.7036	1
60	40.4425	-123.685	1
61	41.19444 -121.00194	1
62	41.114439999065226	-121.43194	1
63	49.28333 -122.75	1
64	47.47321 -116.91611	1
65	41.62138999906314	-121.99472	1
66	39.41888999907431	-122.97750000000003	1
67	49.28333 -122.9	1
68	44.8759	-123.2249	1
69	43.6633	-122.9097	1
70	45.6853	-121.3058	1
71	49.30667 -124.36583	1
72	45.98333	-66.68333	1
73	49.11667	-122.75	1
74	49.25314	-122.91478	1
76	41.234	-122.654	1
77	41.11805999906521	-121.41722	1
78	49.23333	-122.78333	1
79	44.4099	-122.6325	1
80	44.0841	-123.1687	1
81	45.40962	-117.89242	1
82	49.23333	-122.78333	1
83	41.31	-122.769	1
84	49.30667	-124.36583	1
85	44.41	-122.63	1
86	49.28333	-122.75	1
87	41.61267	-121.99161	1
88	41.068	-121.509	1
89	40.722	-122.928	1
90	47.26452	-117.37035	1
91	48.97333	-117.36167	1
92	45.40417	-117.87268	1
93	44.6108	-123.2433	1
94	45.8	-118.38	1
95	41.065	-121.50916	1
96	40.924	-121.47	1
97	49.28333	-122.75	1
98	49.28333	-122.9	1
99	44.6724	-123.2243	1
100	45.77	-117.28	1
101	49.25314	-122.91478	1
102	45.07111	-64.40306	1
106	38.91667	-122.7	1
107	41.11393	-121.4819	1
108	41.4355297	-120.4174813	1
109	41.4336709	-120.4273685	1
110	41.4254655	-120.4205129	1
111	41.4147662	-120.3731876	1
112	41.4152841	-120.3702355	1
113	41.4159229	-120.3686304	1
114	41.4145857	-120.3629416	1
115	41.4236712	-120.3908848	1
116	41.4535	 -120.8143	1
117	41.42500	 -120.41111	1
118	41.62138 	-121.99472	1
119	41.609 	-122.974	1
120	41.31	 -122.769	1
121	41.246 	-122.666	1
122	41.234 	-122.654	1
123	41.23444 	-122.64579	1
124	41.2343	 -122.6454	1
125	41.2245 	-122.6477	1
126	41.2223 	-122.6478	1
127	40.9842	 -122.7074	1
128	40.722	 -122.928	1
129	40.4551	 -123.5131	1
130	40.4646 	-123.5375	1
131	40.4425 	-123.685	1
132	40.47	 -123.7036	1
133	39.41888 	-122.9775	1
134	38.91666	 -122.7	1
135	39.3067 	-120.6856	1
136	40.39583	 -120.77861	1
137	40.8819 	-121.6254	1
138	40.924	 -121.47	1
139	41.007	 -121.156	1
140	41.068	 -121.509	1
141	41.065 	-121.50916	1
142	41.11444	 -121.43194	1
143	41.11805 	-121.41722	1
144	41.19444	 -121.00194	1
145	41.4535 	-120.8143	1
146	41.42500 	-120.41111	1
147	43.25884	-116.78344	1
148	46.16	-117.1052	1
149	46.798300	 -116.994000	1
150	46.239839	 -116.585469	1
151	45.5594	-116.9918	1
152	45.8668	-117.266	1
153	46.5203	-117.0822	1
154	46.723598	-117.143905	1
155	47.6957	-117.198	1
156	47.2235	-117.3534	1
157	47.4579	-117.3888	1
158	47.4746	-117.5409	1
159	47.6129	-116.6779	1
160	47.8167	-116.8601	1
161	48.1111	-116.6157	1
162	47.4247	-116.9834	1
163	47.1255	-116.8752	1
164	46.984045	-116.922884	1
165	46.65	-116.72	1
166	46.3322	-116.6354	1
167	45.9545	-115.9741	1
168	45.8163	-116.2532	1
169	45.4034	-116.4008	1
170	44.9742	-116.2959	1
171	44.5965	-116.0654	1
172	44.7678	-116.4329	1
173	44.6263	-116.7768	1
174	44.4126	-116.8552	1
175	43.698019	 -118.527822	1
176	43.649811	 -118.609950	1
177	44.268089	 -120.716275	1
178	44.431697	 -120.478922	1
179	44.528414	 -119.882300	1
180	44.434575	 -119.541419	1
181	44.443469	 -118.702808	1
182	44.841061	 -119.067267	1
183	45.400775	 -118.994069	1
184	45.807275	 -118.383147	1
185	45.600417	 -118.509917	1
186	45.289306	-117.750014	1
187	45.297914	 -117.860433	1
188	45.105981	 -117.860433	1
189	44.656561	 -117.925750	1
190	45.277083	-118.34135	1
191	45.240314	 -118.392719	1
192	42.900494	 -117.338531	1
193	43.175050	 -117.038333	1
194	43.363561	 -116.921600	1
195	43.216067	 -115.563278	1
196	43.855511	 -115.803292	1
197	43.602053	 -115.988117	1
198	43.730406	 -116.230281	1
199	44.604017	 -123.240169	1
200	43.173831	-121.112525	1
201	42.403333	 -122.046278	1
202	42.534722	-122.889444	1
203	42.086244	 -123.279389	1
204	44.057222	 -123.180833	1
205	44.413056	 -122.632222	1
206	44.720183	 -123.259317	1
207	45.055833	 -123.493333	1
208	45.008046	-116.60255	1
209	43.7305	-116.23	1
210	43.668	-116.119	1
211	47.702146	-116.803286	1
214	49.25325	-122.915667	1
215	44.909	-116.212	1
216	44.908	-116.215	1
217	45.398333	-121.39	1
218	45.398333	-121.39	1
219	47.226667	-118.173333	1
220	48.973333	-117.361667	1
221	49.307778	-124.329722	1
222	47.8403	-114.2306	1
223	44.0716	-115.5338	1
224	44.0716	-115.5338	1
225	42.5352	-122.888933	1
227	45.78139	-116.15198	1
228	49.253139	-122.914778	1
235	43.17439	-123.36181	1
236	43.17439	-123.36181	1
237	48.7104	-114.2235	1
239	46.35456	-115.91774	1
241	45.6712	-111.0282	1
242	48.1892	-114.8634	1
245	49.306667	-124.365833	1
246	44.5833	-116.0667	1
249	46.783167	-116.558667	1
250	44.665	-117.9642	1
251	46.3127	-114.145096	1
253	45.807	-118.382667	1
254	45.8071	-118.3827	1
255	45.807	-118.3827	1
257	45.5956	-118.3185	1
258	44.9894	-118.8902	1
260	45.9333	-121.3736	1
261	46.78417	-117.11556	1
262	46.78417	-117.11556	1
263	45.5663	-118.2143	1
265	46.5359	-114.0988	1
267	46.303333	 -117.569444	1
268	44.7145	-123.266	1
270	42.0911	-123.2918	1
271	47.0716	-114.1983	1
272	46.507	-114.1408	1
274	43.6634	-122.9097	1
275	44.5741	-123.3893	1
276	44.6108	-123.2434	1
277	44.41	-122.6326	1
279	44.6724	-123.2244	1
280	46.1608	-113.9367	1
282	47.439733	-117.57472	1
283	47.439733	-117.57472	1
287	46.716667	-117.15	1
288	44.7191	-123.2641	1
290	49.283333	-122.9	1
291	44.0842	-123.1688	1
293	45.5907	-116.4009	1
294	49.116667	-122.75	1
295	45.9738	-122.8141	1
296	45.7155	-121.4775	1
298	45.9738	-122.8141	1
301	45.950695	-122.84333	1
302	45.72778	-121.48528	1
305	47.0839	-116.9691	1
307	50.75	-120.983333	1
310	49.233333	-122.783333	1
311	49.233333	-122.783333	1
312	49.283333	-122.75	1
313	49.283333	-122.75	1
317	48.233251	-116.55222	1
318	43.13306	-115.69028	1
319	46.754154	-115.615393	1
320	46.7325	-116.99917	1
321	46.7368	-117.0271	1
322	44.8486	-123.2328	1
323	47.45645	-117.37917	1
324	47.45645	-117.37917	1
325	44.8781	-123.2233	1
326	44.876	-123.225	1
328	44.876	-123.225	1
329	44.877573	-123.23278	1
331	47.75861	-118.51861	1
332	45.6853	-121.3059	1
337	47.469182	-117.54118	1
338	47.487496	-117.542589	1
339	45.785698	-121.48528	1
340	45.696108	-121.30573	1
341	45.696108	-121.30573	1
342	47.265061	-117.36889	1
343	47.26452	-117.37035	1
344	47.473206	-116.91611	1
345	47.11625	-116.92125	1
346	47.65889	-117.425	1
349	47.61667	-116.68278	1
353	44.528414	 -119.882300	1
354	42.534722	 -122.889444	1
355	42.086244	 -123.279389	1
356	44.434575	 -119.541419	1
357	45.600417	 -118.507139	1
358	43.698019	 -118.527822	1
359	45.8668	 -117.2660	1
360	42.414447	 -123.025106	1
361	44.413056	 -122.632222	1
362	44.604017	 -123.240169	1
363	42.900494	 -117.338531	1
364	44.608197	 -118.967050	1
365	42.403333	 -122.046278	1
366	45.289306	 -117.750014	1
367	45.289306	 -117.750014	1
368	44.873056	 -123.228858	1
369	44.756944	 -118.807500	1
371	44.431697	 -120.478922	1
372	44.057222	 -123.180833	1
373	45.400775	 -118.994069	1
374	45.297914	 -117.860433	1
375	44.83442	 -116.95562	1
376	44.656556	 -117.925750	1
377	44.268089	 -120.716275	1
378	44.720183	 -123.259317	1
379	44.841061	 -119.067267	1
380	43.172694	 -123.361111	1
381	45.682778	 -121.301667	1
382	44.265278	 -119.375556	1
383	45.090556	 -123.446667	1
